id_pedido,id_cliente,fecha,hora,id_departamento,id_seccion,id_producto,nombre_producto,precio_unitario,cantidad,precio_total,importe,region,compra
1,112108,02/02/2023,10,4,83,49683,Pepino Kirby,0.99,80,3.96,316.8,Nuevo Leon,Online
1,112108,02/02/2023,10,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,80,9.8,784,Jalisco,Supermercado
1,112108,02/02/2023,10,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,40,3.58,143.2,Cd. México,Abarrotes
2,202279,03/02/2023,9,4,83,28985,Col Rizada OrgÃ¡nica de Michigan,2.55,40,5.1,204,Yucatan,Hipermercado
2,202279,03/02/2023,9,4,83,17794,Zanahorias,0.95,100,4.75,475,Guerrero,Abastos
3,205970,12/06/2023,17,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,80,5.96,476.8,Otros,Otros
5,156122,21/10/2023,16,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,100,12.25,1225,Nuevo Leon,Online
5,156122,21/10/2023,16,4,123,27966,Frambuesas OrgÃ¡nicas,2.85,140,19.95,2793,Jalisco,Supermercado
5,156122,21/10/2023,16,4,24,47209,Aguacate Hass OrgÃ¡nico,1.79,60,5.37,322.2,Cd. México,Abarrotes
10,135442,28/01/2023,8,4,24,24852,Banana,1.05,100,5.25,525,Yucatan,Hipermercado
10,135442,28/01/2023,8,4,16,31717,Cilantro OrgÃ¡nico,0.69,100,3.45,345,Guerrero,Abastos
10,135442,28/01/2023,8,4,24,47766,Aguacate OrgÃ¡nico,1.75,80,7,560,Otros,Otros
10,135442,28/01/2023,8,4,83,4605,Cebollas Amarillas,0.85,80,3.4,272,Nuevo Leon,Online
10,135442,28/01/2023,8,4,24,21137,Fresas OrgÃ¡nicas,2.49,80,9.96,796.8,Jalisco,Supermercado
10,135442,28/01/2023,8,16,53,49235,Crema OrgÃ¡nica,1.15,140,8.05,1127,Cd. México,Abarrotes
14,18194,13/12/2023,15,16,84,27845,Leche Entera OrgÃ¡nica,0.99,140,6.93,970.2,Yucatan,Hipermercado
14,18194,13/12/2023,15,4,24,45066,Manzana Honeycrisp,1.55,100,7.75,775,Guerrero,Abastos
18,118860,19/01/2023,20,7,115,44632,Agua con Gas de Pomelo,0.95,60,2.85,171,Otros,Otros
18,118860,19/01/2023,20,4,123,27966,Frambuesas OrgÃ¡nicas,2.85,60,8.55,513,Nuevo Leon,Online
18,118860,19/01/2023,20,4,83,46979,EspÃ¡rragos,1.95,80,7.8,624,Jalisco,Supermercado
18,118860,19/01/2023,20,4,24,47766,Aguacate OrgÃ¡nico,1.75,100,8.75,875,Cd. México,Abarrotes
19,83009,10/05/2023,17,4,123,42265,Zanahorias Baby OrgÃ¡nicas,1.25,100,6.25,625,Yucatan,Hipermercado
20,182912,07/01/2023,17,4,24,24852,Banana,1.05,80,4.2,336,Guerrero,Abastos
22,30822,06/10/2023,8,4,24,24852,Banana,1.05,140,7.35,1029,Otros,Otros
22,30822,06/10/2023,8,4,83,46979,EspÃ¡rragos,1.95,120,11.7,1404,Nuevo Leon,Online
23,68572,30/09/2023,18,4,24,47766,Aguacate OrgÃ¡nico,1.75,140,12.25,1715,Jalisco,Supermercado
23,68572,30/09/2023,18,4,83,8518,Cebolla Roja OrgÃ¡nica,0.92,80,3.68,294.4,Cd. México,Abarrotes
26,153404,08/01/2023,16,4,24,24852,Banana,1.05,40,2.1,84,Yucatan,Hipermercado
26,153404,08/01/2023,16,4,123,21903,Espinacas Baby OrgÃ¡nicas,1.49,80,5.96,476.8,Guerrero,Abastos
26,153404,08/01/2023,16,4,24,47766,Aguacate OrgÃ¡nico,1.75,80,7,560,Otros,Otros
27,129389,24/08/2023,20,4,24,13176,Bolsa de Bananas OrgÃ¡nicas,2.45,100,12.25,1225,Nuevo Leon,Online
27,129389,24/08/2023,20,4,24,47766,Aguacate OrgÃ¡nico,1.75,140,12.25,1715,Jalisco,Supermercado
